id,name,artist_genres,artist_image
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,r&b,https://i.scdn.co/image/ab6761610000e5eb9f9eab124df9f1ff148ebfe5
4E7AV8mtElSjHZP3xA9kyU,Luke James,neo soul,https://i.scdn.co/image/ab6761610000e5ebead3ed141585a9778ffe2234
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,r&b,https://i.scdn.co/image/ab6761610000e5eb4e3dee8baac75dad1fea791e
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,hip pop,https://i.scdn.co/image/ab6761610000e5eb4d8f97058ff993df0f4eb9ee
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,pop,https://i.scdn.co/image/ab6761610000e5eb9e690225ad4445530612ccc9
7CajNmpbOovFoOoasH2HaY,Calvin Harris,dance pop,https://i.scdn.co/image/ab6761610000e5eb37bff6aa1d42bede9048750f
50OApTJurDusIo9dGTqSU4,Lilly Wood and The Prick,french indie pop,https://i.scdn.co/image/ab6761610000e5eb76a8e34c1a5af31964a4bbf7
3Yl4nkmEa8BSuGWbwhdLDq,G.R.L.,girl group,https://i.scdn.co/image/ab6761610000e5eb8d6be0bb08d49681c43bc899
2FXC3k01G6Gw61bmprjgqS,Hozier,irish singer-songwriter,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a
2gsggkzM5R49q6jpPvazou,Jessie J,dance pop,https://i.scdn.co/image/ab6761610000e5eb91f0dd753c09e051675a1ca6
3AQRLZ9PuTAozP28Skbq8V,The Script,celtic rock,https://i.scdn.co/image/ab6761610000e5ebf01bf904b446e4a043acb867
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,https://i.scdn.co/image/ab6761610000e5ebcdce7620dc940db079bf4952
7MGPOWrHHrTJcviOWNbKEF,Kelly Joe Phelps,country blues,https://i.scdn.co/image/e7ff7841e58d73785e2f39274e3a0d35b2f6fcd8
6iDaoPZVgxrTkndDCisX8F,Keb' Mo',acoustic blues,https://i.scdn.co/image/ab6761610000e5eb952dfda833ad8a9e07c42fa2
2uNcfNhlVJUyEX0t0NG1m1,Eric Bibb,acoustic blues,https://i.scdn.co/image/ab6761610000e5ebcbc2a368d3869ef78b447c1b
6OVkHZQP8QoBYqr1ejCGDv,Seasick Steve,alternative roots rock,https://i.scdn.co/image/ab6761610000e5eb44db440e723c668125872288
6hkNj3GAqFbkEUCs3R1dY3,Rory Block,acoustic blues,https://i.scdn.co/image/4246e5c1fa8e28736a2f78319d288db57698f402
6PdVgi27EMfFXV5lSH6wEW,Guy Davis,acoustic blues,https://i.scdn.co/image/5e74c9039632d401809184505b675d34b081ea6c
5HsS48kuvghKcNpwOaAvB5,Samantha Fish,kc indie,https://i.scdn.co/image/ab6761610000e5eb5049bb1ff98cae3b69d8ce32
1pmIo6ASaJG24wmYoyxjwG,Alvin Youngblood Hart,acoustic blues,https://i.scdn.co/image/ab6761610000e5ebce13d81cccc239bdc4bed605
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,album rock,https://i.scdn.co/image/ab6772690000c46ca60e8f215103f6841d8a83f0
2e02wACgnPCZ1lPeQEUCom,Hans Theessink,country blues,https://i.scdn.co/image/867daf6614945645965ddde7d5bb884e003aa469
7DtrCdyysCDj5BlVKcassv,Rev. Gary Davis,acoustic blues,https://i.scdn.co/image/ab67616d0000b273e4149df510840d5fdaa7565d
1TQtbRQbaXw5CeN3mC0DJH,Corey Harris,acoustic blues,https://i.scdn.co/image/51c730080469a55213bf8b12e2b86dca1a6a20bd
12LgviUQ9DbfYJJ9niDWRq,Walter Trout,blues,https://i.scdn.co/image/ab6761610000e5eb4c4a5e1edece474dbf397bfb
7Ks9lt2zomYkmOeLv0PbHW,The Holmes Brothers,soul blues,https://i.scdn.co/image/2de3de6e41d5ccc6e05d27a2e84f7e9816a66f14
3ODYbknLzVe3cWQzVfbzGB,Tab Benoit,electric blues,https://i.scdn.co/image/ab6761610000e5eba2dc6336ff9123fd32e822e3
4IPDnwurwc0J2tXUty2hO4,Mike Zito,british blues,https://i.scdn.co/image/ab6761610000e5eb2d58382f657d6e1aa269eed8
6ioaRkg9SnP8mC2NP7Z2rB,Eric Sardinas,,https://i.scdn.co/image/a52fbca0447312ca09543943a9279263fd2787df
1FdwVX3yL8ITuRnTZxetsA,Mississippi John Hurt,acoustic blues,https://i.scdn.co/image/86eafa446e2216fa1b40c59a634a3a8c3718b5c0
4PM86aECDhcdwuJNZNrR22,Chris Smither,acoustic blues,https://i.scdn.co/image/ab6761610000e5ebf9bf989c61f7abea7ea177b8
0ZLV7I1vDpjO5IIDTYfeGJ,Little Axe,electric blues,https://i.scdn.co/image/5fa6bdaaebb4f42d01f43f28a30fb263f106f52c
2gFsmDBM0hkoZPmrO5EdyO,Tedeschi Trucks Band,blues rock,https://i.scdn.co/image/ab6761610000e5ebb64fd7661725685a2dc587ec
739hmk6VVud7fbPNmYL7pa,Eric Von Schmidt,american folk revival,https://i.scdn.co/image/ab67616d0000b273a24a14bcaf083a1642b8222e
4Sld5LOPbAm1QSq9U32fFV,John Hiatt,country rock,https://i.scdn.co/image/ab6761610000e5eb0442101f315ec5788fb986c2
5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,album rock,https://i.scdn.co/image/1de60c936683320769a1bfb6fba7f75902859085
288ptwBqLrqmD6Z2622eLp,Robert Belfour,country blues,https://i.scdn.co/image/ab67616d0000b273500014a825c751b908ed2828
1WLzLvyPtIKHVscQ8rbX1i,Bowling Green John Cephas,,https://i.scdn.co/image/ab67616d0000b273815415a0b3f4a640cf2842ab
1aTDTChWWyiJH3SEnYrdVp,Taj Mahal,acoustic blues,https://i.scdn.co/image/ab6761610000e5ebdd14071bc585663f2f30b8ec
3tLrjXofiogOGcDpAUgM5z,Dan Arborise,,https://i.scdn.co/image/ab67616d0000b2737cc345aa2627859134bf8725
3enRG6NEAfCkJI2muGcnT1,J.B. Lenoir,acoustic blues,https://i.scdn.co/image/ab67616d0000b273c66e0f533d2dd6182d2a6c40
6HwigzRpuWoCZDqMOQc5eu,Big Bill Broonzy,acoustic blues,https://i.scdn.co/image/ab6772690000c46c6b3e4d19ec42b843753302e7
55N838yCXjxLVkBkIM5pnf,William Elliott Whitmore,iowa indie,https://i.scdn.co/image/ab6772690000c46c219619a1c1bc86c82c47a842
3ikhKlxQA5V5LcZEos15Zb,The Blues Preachers,acoustic blues,https://i.scdn.co/image/ab6761610000e5ebf534e054713ffb32c8c2d74e
0elA30wLp3RmiPaGtU2jhQ,Mississippi Fred McDowell,acoustic blues,https://i.scdn.co/image/f6d2990c29a2723a3a58593575a2b27f2a56690d
0f8MDDzIc6M4uH1xH0o0gy,Robert Johnson,acoustic blues,https://i.scdn.co/image/b8acc51743ff21f1d32e3f99922ca8283d3af0ce
01N1aZStXA4yGvkz4vRXtJ,Doc Watson,american folk revival,https://i.scdn.co/image/91f4fcb0a0113c209416bdfb93d6d960d0ef2dc3
6DFhvhgICGDEN48jX9UQFY,Ruarri Joseph,scottish singer-songwriter,https://i.scdn.co/image/ab6761610000e5eb194a1613498502688374d4a1
2SNzxY1OsSCHBLVi77mpPQ,Joe Bonamassa,blues,https://i.scdn.co/image/ab6761610000e5ebec33bd8fc7f83b842c5d08a8
12455ZzxS49FbAGWKeB9eB,Jeff Golub,smooth jazz,https://i.scdn.co/image/2fd504695b55458035e7fbf006c31af973c6ac4d
2Dp1cq7ozeGAHEPlFVDksl,Memphis Minnie & Kansas Joe,memphis blues,https://i.scdn.co/image/ab67616d0000b2731b664bbdfb4aa8ac2afec228
5zzbSFZMVpvxSlWAkqqtHP,Brown Bird,maine indie,https://i.scdn.co/image/26a23e5dc6f29a9757e4b94a5d7f28320b563a91
63knPlGzLHTNDf1J78Fvte,The Devil Makes Three,new americana,https://i.scdn.co/image/ab6761610000e5ebaa33f72703b5d6f33e10e785
3Ev1WS21x5Jav9j214A19O,Earl Hooker,blues,https://i.scdn.co/image/9ee094ea44193592aeb7250dcad77926f296252c
5ESobCkc6JI4tIMxQttqeg,Bessie Smith,blues,https://i.scdn.co/image/5aaabae6a8e5d353ca8ac6b5cc6adfc91c2c5a5e
4kxaEivs44vtMnKyDabMkF,Buddy Burton & Fats Hudson,,https://i.scdn.co/image/ab67616d0000b2734d4ce1df2d1a9e305d967897
5CK3a77IzCSHjNqzRcbhuG,Allan Holdsworth,jazz fusion,https://i.scdn.co/image/d766d2db2208fe7bfdb95814782c3ff85b66be18
3D41HynDjvBpU1qZKLiLJG,Bressie,irish rock,https://i.scdn.co/image/ab67616d0000b2736d70909ee5a754f4385efab8
0bmF1w9eyJrY4CHyjpTQOW,Damien Dempsey,alternative roots rock,https://i.scdn.co/image/ab6761610000e5eb1185448ddb0131b0092a8cc4
53iGNetIf91uZx4Jb54cgb,Haikaiss,brazilian hip hop,https://i.scdn.co/image/ab6761610000e5eb54f45d9b71b085d659f4663c
4l8S3gH7kFBB9XcI7EtUoT,Jenova 7,,https://i.scdn.co/image/ab6761610000e5ebd64d766ca527e99ea3941436
0vDde7hvB65pD0XoN1IICf,Frederic Galliano Electronic Sextet,,
4hKUd7Y5CiAGqVk2Z4NV9P,Massage Therapy Music,sleep,https://i.scdn.co/image/ab6761610000e5eb3df2f76da9a89201ad112e58
0fJRie9aBdCminvDWMCRuC,Asian Zen Spa Music Meditation,spa,https://i.scdn.co/image/ab6761610000e5eb665fb693181b0dde6f9d4d15
5hAhrnb0Ch4ODwWu4tsbpi,Yo La Tengo,alternative rock,https://i.scdn.co/image/ab6761610000e5ebad8a54844b1b0ac42f0dd71c
