id,name,uri,album_image_url,release_date,artist,artist_id,genre
3atKAWV9yhlcTjLdJJD4bQ,651: The Intentional Use of Color in Data Communication,spotify:episode:3atKAWV9yhlcTjLdJJD4bQ,https://i.scdn.co/image/ab6765630000ba8a6dba15394e07174d5b4e622c,2023-02-07,Super Data Science Podcast with Jon Krohn,1n8P7ZSgfVLVJ3GegxPat1,podcast
1WB8bOq3hIEWfN4AYMaBAM,111 - Designing and Monetizing Data Products Like a Startup with Yuval Gonczarowski,spotify:episode:1WB8bOq3hIEWfN4AYMaBAM,https://i.scdn.co/image/ab6765630000ba8a72a047ceba0b9e4135d86244,2023-02-21,Experiencing Data with Brian T. O’Neill,7wVvNYSGGicmX2Nb0XhLl9,podcast
3TALTMRbortPMhzLyuuJtg,Como é trabalhar com dados na XP Inc. - Data Hackers Podcast 26,spotify:episode:3TALTMRbortPMhzLyuuJtg,https://i.scdn.co/image/ab6765630000ba8a22f3b9e8481bb9a5a63ca597,2020-07-24,Data Hackers,1oMIHOXsrLFENAeM743g93,podcast
11R83WiZOT0BcVhc4T7mbi,How to Connect Data Strategy to Business Value,spotify:episode:11R83WiZOT0BcVhc4T7mbi,https://i.scdn.co/image/7794fae25d192bf1b57aad86ec84454ea0e30856,2023-03-22,The Data Chief,7hJCWLsVaoqR7YTkWoyoOI,podcast
06GCrGJFTo9oiS1O9MAzYi,NyLkbPpwtqm9,spotify:episode:06GCrGJFTo9oiS1O9MAzYi,https://i.scdn.co/image/ab6765630000ba8ab3291a86e11dd1a791ea5d51,2019-06-12,What's New with Spotify Premium,5PbT37T6aa0dkd0oAQ87Yk,podcast
713KiOuKhLoH42c45rLDHM,Sua nova tela inicial,spotify:episode:713KiOuKhLoH42c45rLDHM,https://i.scdn.co/image/ab6765630000ba8a7f2be7cbe3ea004dd9c2251f,2020-03-06,What's New With Spotify,0cSvtUuwNbMqDAIezFm9c9,podcast
1KAJCWONTN7eZ1wKTCfcIj,"User-centric data science, design thinking, from UX researcher to data science manager@Visa - Laura Gabrysiak - the data scientist show #038",spotify:episode:1KAJCWONTN7eZ1wKTCfcIj,https://i.scdn.co/image/ab6765630000ba8a7225c18caa219a614fd38af7,2022-05-31,The Data Scientist Show,5b4GisxKJThRnRWaqRXmHw,podcast
2GuBNClBtM2evqpjoI8Ftw,AI search at You.com,spotify:episode:2GuBNClBtM2evqpjoI8Ftw,https://i.scdn.co/image/e7afa3e3cc009d133446a237bf4446832332db6e,2023-03-15,"Practical AI: Machine Learning, Data Science",1LaCr5TFAgYPK5qHjP3XDp,podcast
08ZYD4Jx8tepX6MsWOoE9F,It’s Not About You: Why Effective Communicators Put Others First,spotify:episode:08ZYD4Jx8tepX6MsWOoE9F,https://i.scdn.co/image/b5a470d7d4dd60053c3aa8b31b7b5dbebb0b1a7c,2023-03-21,"Think Fast, Talk Smart: Communication Techniques",6ll0MwobDt1JW9gYaOONEo,podcast
4fkqVZxgYsAitI2tLrBI2F,#130 The Path to Becoming a Kaggle Grandmaster,spotify:episode:4fkqVZxgYsAitI2tLrBI2F,https://i.scdn.co/image/ab6765630000ba8aa5300218f4b40fa0b6081d7f,2023-03-13,DataFramed,02yJXEJAJiQ0Vm2AO9Xj6X,podcast
2N5PF5VhsyKBYED4B4dHyF,661: Designing Machine Learning Systems,spotify:episode:2N5PF5VhsyKBYED4B4dHyF,https://i.scdn.co/image/ab6765630000ba8ae3dac763b1f36eda333b3f7b,2023-03-14,Super Data Science Podcast with Jon Krohn,1n8P7ZSgfVLVJ3GegxPat1,podcast
6yhl0RY5ZD0KaOBRRRnFn8,Central Limit Theoram | Status time | Data Science,spotify:episode:6yhl0RY5ZD0KaOBRRRnFn8,https://i.scdn.co/image/ab6765630000ba8a184102d6021d2974cc70644a,2023-02-26,Data Science with Ankit Bansal,3BopUDAH67MsFR3XXweI4z,podcast
7HXT8mbrVTyhZ5kR0L7goF,A massiva Plataforma de Dados no Itaú - Data Hackers Podcast 64,spotify:episode:7HXT8mbrVTyhZ5kR0L7goF,https://i.scdn.co/image/ab6765630000ba8a22f3b9e8481bb9a5a63ca597,2023-03-10,Data Hackers,1oMIHOXsrLFENAeM743g93,podcast
2WwffK38Kdx096N6CQmDE8,#109 - Dr. DAN MCQUILLAN - Resisting AI,spotify:episode:2WwffK38Kdx096N6CQmDE8,https://i.scdn.co/image/ab6765630000ba8aa5005e523257d42d8a204698,2023-03-20,Machine Learning Street Talk (MLST),02e6PZeIOdpmBGT9THuzwR,podcast
1Hv8SVittRJDkEecbQ0CzH,"113 - Turning the Weather into an Indispensable Data Product for Businesses with Cole Swain, VP Product at tomorrow.io",spotify:episode:1Hv8SVittRJDkEecbQ0CzH,https://i.scdn.co/image/ab6765630000ba8a72a047ceba0b9e4135d86244,2023-03-21,Experiencing Data with Brian T. O’Neill,7wVvNYSGGicmX2Nb0XhLl9,podcast
7ASLou6VhN1OzULPZcB6lu,Aligning Data Security With Business Productivity To Deploy Analytics Safely And At Speed,spotify:episode:7ASLou6VhN1OzULPZcB6lu,https://i.scdn.co/image/ab6765630000ba8a4456c3c56c25fd6631366c71,2023-03-19,Data Engineering Podcast,2iLvljRGVVIGlJshT5vNDS,podcast
2Y0mKRHq6wVfr25HJ5Ji3Y,Starting a Consultancy in the Data Space - Aleksander Kruszelnicki,spotify:episode:2Y0mKRHq6wVfr25HJ5Ji3Y,https://i.scdn.co/image/ab6765630000ba8a28ee23b0c436bf5d993d8633,2023-03-17,DataTalks.Club,0pck8zuiXdI0OrCg86DAPy,podcast
418mDc9o1QmiDrGjeKNQRP,S5 E8: Supply Chain Demands w/ Jim Fleming,spotify:episode:418mDc9o1QmiDrGjeKNQRP,https://i.scdn.co/image/ab6765630000ba8ae4af5e53a6d522bbd3e08c56,2023-03-20,Maintenance Mavericks Podcast,5PlLSyIsOYTgtoHuOhDxJD,podcast
3S6UXdEFA2hmy686fSfpfp,The Power of Awakening | Mindfulness Practices and Spiritual Tools | Wayne Dyer | Book Summary,spotify:episode:3S6UXdEFA2hmy686fSfpfp,https://i.scdn.co/image/ab6765630000ba8a1a8eeb7fec0f6ffb611fbe08,2023-03-14,Bestbookbits,0q8OW3dNrLISzyRSEovTBy,podcast
0je6q3rIOTPtDuvMT7rUt6,Shreya Shankar — Operationalizing Machine Learning,spotify:episode:0je6q3rIOTPtDuvMT7rUt6,https://i.scdn.co/image/ab6765630000ba8a15e99b9921a38d1395dc30ad,2023-03-03,"Gradient Dissent: Exploring Machine Learning, AI, Deep Learning, Computer Vision",7o9r3fFig3MhTJwehXDbXm,podcast
